Year,Country,CO2_Emissions_Mt,Temp_Anomaly_C,Sea_Level_Rise_mm
2000,Brazil,387.67,0.574,15.0
2000,Germany,1152.1,0.444,15.0
2000,UK,968.96,0.592,15.0
2000,France,820.59,0.513,15.0
2000,Japan,1088.59,0.496,15.0
2000,Canada,768.39,0.522,15.0
2000,Australia,503.07,0.544,15.0
2000,South Africa,438.1,0.543,15.0
2000,Mexico,320.39,0.531,15.0
2000,Italy,708.29,0.411,15.0
2000,South Korea,894.55,0.594,15.0
2000,Indonesia,344.07,0.406,15.0
2000,Saudi Arabia,811.56,0.548,15.0
2000,Argentina,286.9,0.506,15.0
2000,Egypt,205.9,0.405,15.0
2000,Turkey,293.07,0.528,15.0
2005,USA,4596.26,0.561,18.0
2005,China,2555.14,0.522,18.0
2005,India,1172.59,0.527,18.0
2005,Russia,2418.08,0.629,18.0
2005,Brazil,419.22,0.67,18.0
2005,Germany,1197.34,0.508,18.0
2005,UK,903.52,0.64,18.0
2005,France,831.13,0.687,18.0
2005,Japan,1177.55,0.658,18.0
2005,Canada,799.75,0.673,18.0
2005,Australia,551.86,0.545,18.0
2005,South Africa,458.35,0.7,18.0
2005,Mexico,327.27,0.55,18.0
2005,Italy,674.63,0.544,18.0
2005,South Korea,931.81,0.525,18.0
2005,Indonesia,328.72,0.501,18.0
2005,Saudi Arabia,830.51,0.664,18.0
2005,Argentina,299.02,0.606,18.0
2005,Egypt,209.92,0.615,18.0
2005,Turkey,313.18,0.633,18.0
2010,USA,4167.81,0.618,21.0
2010,China,2357.89,0.708,21.0
2010,India,1231.45,0.736,21.0
2010,Russia,2697.15,0.638,21.0
2010,Brazil,350.56,0.786,21.0
2010,Germany,1214.13,0.752,21.0
2010,UK,994.31,0.744,21.0
2010,France,824.1,0.76,21.0
2010,Japan,1018.22,0.74,21.0
2010,Canada,806.29,0.61,21.0
2010,Australia,479.66,0.645,21.0
2010,South Africa,433.23,0.64,21.0
2010,Mexico,309.51,0.706,21.0
2010,Italy,675.28,0.699,21.0
2010,South Korea,893.38,0.61,21.0
2010,Indonesia,323.6,0.704,21.0
2010,Saudi Arabia,902.28,0.683,21.0
2010,Argentina,290.92,0.643,21.0
2010,Egypt,214.28,0.602,21.0
2010,Turkey,296.87,0.627,21.0
2015,USA,4630.34,0.888,24.0
2015,China,2621.83,0.771,24.0
2015,India,1123.87,0.839,24.0
2015,Russia,2499.1,0.824,24.0
2015,Brazil,415.27,0.718,24.0
2015,Germany,1373.05,0.896,24.0
2015,UK,938.73,0.76,24.0
2015,France,960.29,0.721,24.0
2015,Japan,1129.92,0.819,24.0
2015,Canada,793.96,0.823,24.0
2015,Australia,575.73,0.847,24.0
2015,South Africa,465.64,0.709,24.0
2015,Mexico,381.53,0.726,24.0
2015,Italy,712.33,0.766,24.0
2015,South Korea,911.22,0.812,24.0
2015,Indonesia,334.06,0.713,24.0
2015,Saudi Arabia,863.05,0.872,24.0
2015,Argentina,290.74,0.754,24.0
2015,Egypt,207.7,0.801,24.0
2015,Turkey,317.02,0.847,24.0
2020,USA,4830.97,0.876,27.0
2020,China,2611.09,0.875,27.0
2020,India,1178.71,0.945,27.0
2020,Russia,2655.21,0.918,27.0
2020,Brazil,435.74,0.823,27.0
2020,Germany,1285.88,0.89,27.0
2020,UK,1074.38,0.958,27.0
2020,France,837.22,0.973,27.0
2020,Japan,1176.76,0.919,27.0
2020,Canada,782.18,0.876,27.0
2020,Australia,485.49,0.82,27.0
2020,South Africa,495.17,0.956,27.0
2020,Mexico,346.77,0.987,27.0
2020,Italy,752.76,0.842,27.0
2020,South Korea,1006.8,0.827,27.0
2020,Indonesia,381.4,0.906,27.0
2020,Saudi Arabia,905.56,0.844,27.0
2020,Argentina,287.51,0.828,27.0
2020,Egypt,216.99,0.901,27.0
2020,Turkey,315.0,0.811,27.0
2025,USA,5257.29,0.957,30.0
2025,China,2422.56,0.919,30.0
2025,India,1194.93,0.991,30.0
2025,Russia,2672.43,1.052,30.0
2025,Brazil,393.28,1.091,30.0
2025,Germany,1376.51,0.997,30.0
2025,UK,984.26,0.954,30.0
2025,France,931.85,1.02,30.0
2025,Japan,1201.35,1.073,30.0
2025,Canada,835.84,0.912,30.0
2025,Australia,512.2,0.999,30.0
2025,South Africa,510.86,0.985,30.0
2025,Mexico,340.62,1.082,30.0
2025,Italy,765.14,0.949,30.0
2025,South Korea,985.42,1.029,30.0
2025,Indonesia,350.06,1.068,30.0
2025,Saudi Arabia,895.51,0.933,30.0
2025,Argentina,300.28,1.03,30.0
2025,Egypt,212.19,1.088,30.0
2025,Turkey,356.27,0.916,30.0
